dataset,mode,role,lambda,n_budget_type,n_budget,n_star,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6108040201005025,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6157286432160805,observed_max,50.0,9,,,N95,22.0,0.4090909090909091,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6206532663316583,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6255778894472362,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6305025125628141,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.635427135678392,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6403517587939699,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6452763819095477,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6502010050251257,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6551256281407035,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6600502512562815,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6649748743718593,observed_max,50.0,10,,,N95,22.0,0.45454545454545453,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6698994974874373,observed_max,50.0,11,,,N95,22.0,0.5,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6748241206030151,observed_max,50.0,11,,,N95,22.0,0.5,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.679748743718593,observed_max,50.0,11,,,N95,22.0,0.5,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6846733668341709,observed_max,50.0,11,,,N95,22.0,0.5,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6895979899497487,observed_max,50.0,11,,,N95,22.0,0.5,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6945226130653267,observed_max,50.0,11,,,N95,22.0,0.5,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.6994472361809045,observed_max,50.0,11,,,N95,22.0,0.5,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7043718592964825,observed_max,50.0,11,,,N95,22.0,0.5,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7092964824120603,observed_max,50.0,12,,,N95,22.0,0.5454545454545454,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7142211055276382,observed_max,50.0,12,,,N95,22.0,0.5454545454545454,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7191457286432161,observed_max,50.0,12,,,N95,22.0,0.5454545454545454,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.724070351758794,observed_max,50.0,12,,,N95,22.0,0.5454545454545454,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7289949748743719,observed_max,50.0,12,,,N95,22.0,0.5454545454545454,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7339195979899498,observed_max,50.0,12,,,N95,22.0,0.5454545454545454,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7388442211055277,observed_max,50.0,13,,,N95,22.0,0.5909090909090909,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7437688442211056,observed_max,50.0,13,,,N95,22.0,0.5909090909090909,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7486934673366834,observed_max,50.0,13,13.0,13.0,N95,22.0,0.5909090909090909,0.5909090909090909,0.5909090909090909,True,True,False
